Symptom,Remedy,
Acne,"Pitta-pacifying diet; herbal mix (kutki, guduchi, shatavari); cumin-coriander-fennel tea; blue water; healing pastes (chickpea flour, almond, sandalwood-turmeric-goat’s milk); aloe vera juice; amalaki; rub melon on skin; Lion Pose and Moon Salutation; Moon Breath; relaxation and visualization.",
Addictions,"Panchakarma cleansing, gradual dose reduction, herbal support (chitrak, kutki, aloe vera juice), kumari asava for alcohol, nasya with brahmi ghee, exercise, yoga, So-Hum meditation.",
Allergies,"Identify dosha; vata: dashamoola tea enema; pitta: shatavari, guduchi, manjistha, neem; kapha: sitopaladi, yashti madhu, purgation, avoid allergens, triphala, neem oil, Sun/Moon Salutation, breathing exercises.",
Anemia,"Iron-rich foods (beets, carrots, pomegranate, spinach), vata: tikta ghrita, pitta: shatavari ghee, kapha: punarnava, gokshura, kutki, copper water, yogurt with turmeric, yoga, right nostril breathing.",
Anger/Hostility,"Pitta-pacifying diet, avoid heat/spicy foods, bhringaraj/coconut oil massage, sandalwood oil on third eye/pulse points, chamomile-tulsi-rose tea, ghee nasya, shitali pranayama, Moon Salutation, meditation.",
Angina,"Herbal mix (shringa bhasma, musta, arjuna) with warm water, arjuna and saffron in milk, topical ginger and shringa bhasma paste, gold water, gentle yoga (Camel, Boat, Locust, Cobra, Spinal Twist) if no acute pain.",
Anxiety,"Calming tea (tagar/valerian, musta), warm ginger-baking soda bath, almond milk with ginger, nutmeg, saffron, orange juice with honey and nutmeg, oil massage (by dosha), savasana, So-Hum meditation.",
Low Appetite,Short fast to kindle digestive fire; chew fresh ginger with lime juice and rock salt before lunch if not hungry.,
Arthritis,"Triphala (1 tsp) with warm water at night; use haritaki for vata, amalaki for pitta, bibhitaki for kapha if type is known.",
Asthma/Wheezing,"Licorice root tea (1 tsp boiled in water, sip every 5–10 min at onset); avoid dairy/allergens; Bow and Cobra yoga poses.",
Backache,"Yogaraj guggulu or Kaishore guggulu tablets, massage with mahanarayan oil, gentle yoga stretches (Camel, Cow, Spinal Twist).",
Bad Breath,"Chew roasted fennel and cumin seeds after meals, maintain oral hygiene, drink cumin-coriander-fennel tea.",
Baldness/Hair Loss,"Massage scalp with bhringaraj or brahmi oil at bedtime, drink aloe vera juice, eat nourishing diet including white sesame seeds.",
Bites and Stings,"Apply cilantro juice and pulp locally, use neem oil or paste, apply paste of sandalwood and turmeric.",
Bladder Problems,For cystitis: drink cumin-coriander-fennel tea; for retention: alternate hot/cold compresses; for atonia: chew white sesame seeds with jaggery.,
Bleeding, External,"Apply cold (ice), pressure, paste of aloe and turmeric, use astringent herbs (lodhra, kushtha, bilva)."
Bleeding, Internal,"Take mixture of lodhra, kushtha, bilva (½ tsp 2-3x/day), drink warm milk with turmeric and saffron."
Boils,"Apply neem powder paste, wash area with triphala tea, use red sandalwood and turmeric paste, take triphala or amalaki at night.",
Brittle Nails,"Calcium, magnesium, zinc supplements at bedtime, triphala to cleanse toxins, eat white sesame seeds daily.",
Burns,"Apply cold (ice or cold water), then paste of sandalwood and turmeric in aloe vera gel; use cilantro juice or bitter ghee.",
Bursitis,"Kaishore guggulu tablets, sandalwood paste to area, nasya with warm ghee, castor oil in hot milk at night.",
